[Thu Mar 05 19:02:14.865640 2015] [:error] [pid 5698] [client 127.0.0.1:34125] PHP Fatal error:  Call to undefined function vardump() in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Thu Mar 05 19:02:55.625940 2015] [:error] [pid 5577] [client 127.0.0.1:34126] PHP Fatal error:  Call to undefined function vardump() in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Thu Mar 05 19:03:38.983058 2015] [:error] [pid 5569] [client 127.0.0.1:34127] PHP Fatal error:  Call to undefined function vardump() in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Thu Mar 05 19:03:46.830491 2015] [:error] [pid 5572] [client 127.0.0.1:34128] PHP Fatal error:  Call to undefined function vardump() in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Thu Mar 05 19:03:55.348750 2015] [:error] [pid 5570] [client 127.0.0.1:34129] PHP Fatal error:  Call to undefined function vardump() in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Thu Mar 05 19:06:28.470181 2015] [:error] [pid 5572] [client 127.0.0.1:34143] PHP Parse error:  syntax error, unexpected ')', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 109
[Thu Mar 05 19:07:36.916450 2015] [:error] [pid 5699] [client 127.0.0.1:34147] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ikram/Fika/application/controllers/Admin/User_Controller.php on line 107
[Fri Mar 06 11:38:24.642137 2015] [:error] [pid 5699] [client 127.0.0.1:35301] PHP Parse error:  syntax error, unexpected '}', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ikram/Fika/application/controllers/form.php on line 32
[Fri Mar 06 11:43:56.851958 2015] [:error] [pid 5699] [client 127.0.0.1:35323] PHP Fatal error:  Call to undefined function user() in /home/ikram/Fika/application/controllers/form.php on line 24, referer: http://fika/index.php/form
[Fri Mar 06 12:01:13.546248 2015] [:error] [pid 5704] [client 127.0.0.1:35432] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7, referer: http://fika/index.php/form
[Fri Mar 06 12:01:56.684751 2015] [:error] [pid 14666] [client 127.0.0.1:35436] PHP Fatal error:  Call to undefined function form_open() in /home/ikram/Fika/application/views/myform.php on line 9, referer: http://fika/index.php/form
[Fri Mar 06 12:01:58.116869 2015] [:error] [pid 14666] [client 127.0.0.1:35436] PHP Fatal error:  Call to undefined function form_open() in /home/ikram/Fika/application/views/myform.php on line 9, referer: http://fika/index.php/form
[Fri Mar 06 12:02:09.659835 2015] [:error] [pid 5571] [client 127.0.0.1:35438] PHP Fatal error:  Call to undefined function form_open() in /home/ikram/Fika/application/views/myform.php on line 9, referer: http://fika/index.php/form
[Fri Mar 06 12:02:30.322791 2015] [:error] [pid 5698] [client 127.0.0.1:35439] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7, referer: http://fika/index.php/form
[Fri Mar 06 12:14:01.738605 2015] [:error] [pid 5572] [client 127.0.0.1:35480] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:17:04.901710 2015] [:error] [pid 5700] [client 127.0.0.1:35491] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:19:28.384788 2015] [:error] [pid 14666] [client 127.0.0.1:35509] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:19:31.560070 2015] [:error] [pid 14666] [client 127.0.0.1:35509] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:20:14.270707 2015] [:error] [pid 5571] [client 127.0.0.1:35511] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
[Fri Mar 06 12:20:59.440207 2015] [:error] [pid 8252] [client 127.0.0.1:35513] PHP Fatal error:  Call to undefined function validation_errors() in /home/ikram/Fika/application/views/myform.php on line 7
